199	0.20	대한민국의 학벌 사회라는 거는
1680	1.68	초등학생도 알죠. 그것 때문에
3199	3.20	자기들도 지금 고생을 하고 있을
4560	4.56	테니까. 고용 시장을 보면은 되게
6200	6.20	정확하게 횡력에 따라 차등 대호를
8280	8.28	받아요. 저학력일수록 구직 기간이
10120	10.12	길고 취업률이 낮고 평균 임금도
12440	12.44	낮아요. 정제의 엘리트 중에도 명문대
14240	14.24	출신이 아닌 사람을 찾는게 더
15719	15.72	어렵죠. 어른들이 자꾸 이게 대학을
17400	17.40	가라고 하는 이유가 있는데 고학력자가
19359	19.36	더 많은 자원을 차지하는 거는 사실
21240	21.24	다른 나라도 똑같아요. 현대 사회가
22960	22.96	지식 기반 사회이다 보니까 창업적으로
25039	25.04	봐도 상황은 비슷해요. 벤처 창업은
26800	26.80	자본 장벽이 낮아 가지고 소자본
28279	28.28	창업이 되고 기술 장벽이 낮아서
30119	30.12	학력이 덜 중요하긴 해요. 유명한
31840	31.84	스타트업 창업자 중에 고학력자가 아닌
34000	34.00	경우도 많고요. 하지만 여전히 유니콘
36239	36.24	기업들의 상당수가 명문대 출신이
38160	38.16	창업한 것도 맞아요. 투자자들이
39800	39.80	학력을 본다는게 어깨의 중론이기도
41600	41.60	하고요. 이게 명문대의대 코스를 밝게
43760	43.76	되면은 얻는게 많거든요. 일단 한
45680	45.68	분야의 전문성이나 기술이 생기고요.
47760	47.76	그리고 엘리트 집단이라는 인적
49800	49.80	네트워크가 생기죠. 그 속에서 얻는
51719	51.72	정보는 속된말로 질이 달라요. 난관의
53840	53.84	연속인 사업에서도 입력이 큰 도움이
55879	55.88	되고요. 고급 인력을 확보하기도
57559	57.56	좋아요. 학교 선배가 창업한다고 따라
59399	59.40	들어갔다가 대박이 난 경우도 많고
61519	61.52	애초에 한국의 IT 기업들은 다
63320	63.32	명문대 동기들끼리 만든 거예요.
65000	65.00	투자자 입장에서도 학력은 중요한
66600	66.60	정보가 돼요. 창업자의 전문성,
68600	68.60	성실함, 인적 네트워크를 알 수
70360	70.36	있으니까. 이게 투자를 하려면은
71840	71.84	기업을 신속 정확하게 파악을 해야
73400	73.40	되는데이 학벌만큼 가성비 좋은 정보가
75400	75.40	없어요.
78799	78.80	자, 최상위권에서 학벌 사회는 여전히
